"","MUNICIPIO","RISP","JAN","FEV","MAR","ABR","MAI","JUN","JULHO","AGO","SET","OUT","NOV","DEZ"
"1","ABAETETUBA","04RISP",3,5,5,1,5,3,4,9,2,9,11,9
"2","ABEL FIGUEIREDO","10RISP",0,0,0,0,0,0,1,0,0,0,0,0
"3","ACARA","04RISP",1,4,7,2,0,2,1,8,2,4,5,3
"4","AFUA","08RISP",0,0,0,1,0,1,0,3,0,0,2,1
"5","AGUA AZUL DO NORTE","14RISP",0,2,0,0,0,0,1,0,0,0,2,0
"6","ALENQUER","12RISP",2,3,3,1,3,1,3,1,1,3,0,2
"7","ALMEIRIM","12RISP",3,1,2,1,1,2,3,1,3,1,1,1
"8","ALTAMIRA","11RISP",6,7,5,2,5,5,6,2,1,3,4,6
"9","ANAJAS","08RISP",0,0,0,0,0,0,1,1,0,2,1,0
"10","ANANINDEUA","02RISP",17,14,13,6,15,10,9,22,17,21,20,11
"11","ANAPU","11RISP",1,0,0,1,0,2,4,0,1,0,1,4
"12","AUGUSTO CORREA","06RISP",3,2,1,0,0,2,0,0,2,1,4,2
"13","AURORA DO PARA","07RISP",3,2,1,0,4,0,2,0,2,1,0,4
"14","AVEIRO","15RISP",0,1,1,1,0,0,1,0,1,0,1,0
"15","BAGRE","08RISP",0,1,1,1,0,0,1,0,1,1,0,0
"16","BAIAO","04RISP",0,1,1,0,0,0,1,1,0,0,1,0
"17","BANNACH","14RISP",0,0,0,0,0,0,0,0,0,0,0,0
"18","BARCARENA","04RISP",9,13,5,2,1,6,11,6,4,9,10,5
"19","BELEM","01RISP",48,43,32,16,34,35,38,47,54,48,47,49
"20","BELTERRA","12RISP",0,0,1,1,0,0,1,1,1,5,3,2
"21","BENEVIDES","02RISP",4,9,2,0,2,4,4,8,3,6,5,1
"22","BOM JESUS DO TOCANTINS","10RISP",1,0,0,4,0,1,0,0,1,4,1,0
"23","BONITO","06RISP",1,0,0,0,0,0,0,0,0,1,0,0
"24","BRAGANCA","06RISP",3,7,3,2,3,2,2,3,4,4,3,5
"25","BRASIL NOVO","11RISP",1,1,1,2,2,0,0,0,1,1,1,1
"26","BREJO GRANDE DO ARAGUAIA","10RISP",2,3,1,1,0,0,1,0,1,1,0,1
"27","BREU BRANCO","09RISP",3,0,2,0,2,3,4,2,3,0,4,0
"28","BREVES","08RISP",4,4,2,0,0,0,2,3,2,0,6,3
"29","BUJARU","03RISP",0,2,1,1,2,0,0,2,2,0,2,0
"30","CACHOEIRA DO ARARI","05RISP",2,1,4,1,0,3,2,1,2,1,3,1
"31","CACHOEIRA DO PIRIA","06RISP",2,0,0,0,0,1,1,1,3,0,0,1
"32","CAMETA","04RISP",2,4,1,1,3,1,4,4,3,6,1,4
"33","CANAA DOS CARAJAS","10RISP",3,1,7,3,0,1,0,3,2,4,0,3
"34","CAPANEMA","06RISP",0,2,2,2,1,2,2,0,4,1,1,4
"35","CAPITAO POCO","06RISP",0,2,0,0,3,1,4,1,2,3,1,0
"36","CASTANHAL","03RISP",4,2,5,4,6,8,5,8,6,6,4,7
"37","CHAVES","08RISP",0,1,0,1,0,0,0,2,0,0,1,3
"38","COLARES","03RISP",0,3,0,2,0,0,1,0,2,1,0,0
"39","CONCEICAO DO ARAGUAIA","13RISP",1,1,2,1,0,2,0,2,1,0,0,2
"40","CONCORDIA DO PARA","03RISP",2,1,0,0,1,0,6,4,0,1,2,1
"41","CUMARU DO NORTE","13RISP",0,1,0,0,0,0,0,0,0,0,0,0
"42","CURIONOPOLIS","10RISP",5,3,1,0,4,1,4,1,1,2,2,0
"43","CURRALINHO","08RISP",1,1,2,1,1,0,2,0,1,3,1,0
"44","CURUA","12RISP",0,0,0,0,0,0,0,1,1,0,0,0
"45","CURUCA","03RISP",3,2,4,1,1,1,1,3,4,2,0,1
"46","DOM ELISEU","07RISP",1,2,0,0,1,2,2,0,0,1,1,0
"47","ELDORADO DOS CARAJAS","10RISP",0,1,0,2,1,2,2,1,1,0,1,0
"48","FARO","12RISP",0,0,0,0,0,0,0,0,0,0,0,0
